"team_won","first_team","second_team","category"
"Derbyshire","Derbyshire 146/8 (20/20 ov)","Worcestershire 98","T20L"
"Glamorgan","Middlesex 99/8 (14/14 ov)","Glamorgan 100/3","T20L"
"Somerset","Somerset 189/3 (20/20 ov)","Hampshire 91","T20L"
"Surrey","Surrey 154/9 (20/20 ov)","Kent 144/8","T20L"
"Warwickshire","Lancashire 163/4 (20/20 ov)","Warwickshire 169/8","T20L"
"Leicestershire","Leicestershire 203/5 (20/20 ov)","Nottinghamshire 201/8","T20L"
"Sussex","Sussex 172/4 (20/20 ov)","Essex 117","T20L"
"Hampshire","Hampshire 249/8 (20/20 ov)","Derbyshire 148","T20L"
"Glamorgan","Leicestershire 123 (19.2/20 ov)","Glamorgan 126/1","T20L"
"Nottinghamshire","Somerset 151/6 (20/20 ov)","Nottinghamshire 152/5","T20L"
"Warwickshire","Surrey 204/5 (20/20 ov)","Warwickshire 207/4","T20L"
"Warwickshire","Warwickshire 175/9 (20/20 ov)","Glamorgan 164","T20L"
"Nottinghamshire","Nottinghamshire 169/7 (20/20 ov)","Hampshire 146","T20L"
"Nottinghamshire","Nottinghamshire 190/4 (20/20 ov)","Warwickshire 168/8","T20L"
"Trinbago","St Lucia Stars 132/9 (20/20 ov)","Trinbago Knight Riders 137/1","T20L"
"St","Guyana Amazon Warriors 123/7 (20/20 ov)","St Kitts and Nevis Patriots 124/6","T20L"
"Barbados","Barbados Tridents 142/7 (20/20 ov)","Jamaica Tallawahs 130/6","T20L"
"St","St Kitts and Nevis Patriots 132/3 (20/20 ov)","Guyana Amazon Warriors 128/8","T20L"
"Jamaica","Jamaica Tallawahs 154/5 (20/20 ov)","Barbados Tridents 142","T20L"
"Trinbago","St Lucia Stars 118/9 (20/20 ov)","Trinbago Knight Riders 120/6","T20L"
"Jamaica","Trinbago Knight Riders 147 (19.5/20 ov)","Jamaica Tallawahs 148/6","T20L"
"Barbados","Barbados Tridents 196/4 (20/20 ov)","St Lucia Stars 129/6 (15.2/15.2 ov, target: 151)



 Scorecard

	Report

	Photos","T20L"
